Track,Block Name,Hit Count,Total Time (ns),Avg Time (ns),Min Time (ns),Max Time (ns),% Track,% Total
0,handle_product_listing_request,10,569040900,56904090,51894600,63596100,100.00,50.17
1,fetch_user,10,36530400,3653040,2862400,5096500,27.66,3.22
1,fetch_products,10,72795000,7279500,5952500,9989900,55.11,6.42
1,update_user_activity,10,22766200,2276620,1432400,3490400,17.24,2.01
2,calculate_recommendations,10,149810700,14981070,10524400,19988700,54.28,13.21
2,apply_pricing_rules,10,74941500,7494150,5465400,9433800,27.15,6.61
2,validate_inventory,10,51266400,5126640,3512900,7508900,18.57,4.52
3,load_user_preferences,10,22194200,2219420,1330100,3457300,14.13,1.96
3,cache_results,10,30563500,3056350,2525600,3981800,19.47,2.69
3,send_analytics,10,104259800,10425980,5490200,13944800,66.40,9.19
